Name,Ap,An,Bn,beta,N
BerteroS6,0.124560,3.184534,0.729130,0.674073,10
DazioWSH1,0.456748,1.887925,0.424831,0.793491,10
DazioWSH2,0.445158,3.828053,0.842909,0.587408,10
DazioWSH3,0.390032,2.133345,0.701481,0.245824,10
DazioWSH4,0.445158,3.828053,0.842909,0.587408,9
DazioWSH5,0.445158,3.828053,0.842909,0.587408,5
DazioWSH6,0.346143,1.388513,0.891916,0.634216,10
LiuW1,0.492780,3.494161,0.614948,0.275260,8
LiuW2,0.445158,3.828053,0.842909,0.587408,9
LowesPW1,0.366941,3.620545,0.805312,0.220596,10
LowesPW2,0.445158,3.828053,0.842909,0.587408,10
LowesPW3,0.366941,3.620545,0.805312,0.220596,9
LowesPW4,0.445158,3.828053,0.842909,0.587408,9
MassoneWP10,0.445158,3.828053,0.842909,0.587408,10
MassoneWP5,0.233840,3.990017,0.311331,0.398936,6
MassoneWP6,0.186603,3.044485,0.145872,0.367243,2
MassoneWP7,0.072159,3.483225,0.067436,0.262324,2
MassoneWP8,0.063925,2.879538,0.230415,0.304376,2
MassoneWP9,0.410339,2.587719,0.825747,0.371198,8
OesterleB1,0.445158,3.828053,0.842909,0.587408,3
OesterleB2,0.366941,3.620545,0.805312,0.220596,5
OesterleB3,0.445158,3.828053,0.842909,0.587408,3
OesterleB5,0.124560,3.184534,0.729130,0.674073,7
OesterleB6,0.222798,3.649603,0.762888,0.725073,10
OesterleB7,0.330691,2.246606,0.787495,0.299723,4
OesterleB8,0.346143,1.388513,0.891916,0.634216,5
OesterleB9,0.297320,1.652084,0.875312,0.685022,9
OesterleF1,0.072159,3.483225,0.067436,0.262324,10
OesterleR1,0.492780,3.494161,0.614948,0.275260,4
OesterleR2,0.456748,1.887925,0.424831,0.793491,9
OhWR0,0.297320,1.652084,0.875312,0.685022,10
OhWR10,0.346143,1.388513,0.891916,0.634216,9
OhWR20,0.222798,3.649603,0.762888,0.725073,10
PilakoutasSW4,0.445158,3.828053,0.842909,0.587408,9
PilakoutasSW5,0.366941,3.620545,0.805312,0.220596,10
PilakoutasSW6,0.216482,2.396168,0.774545,0.783970,6
PilakoutasSW7,0.216482,2.396168,0.774545,0.783970,4
PilakoutasSW8,0.297320,1.652084,0.875312,0.685022,6
PilakoutasSW9,0.140603,3.919020,0.866576,0.489456,4
SyngeW1,0.445158,3.828053,0.842909,0.587408,10
WallaceRW1,0.456748,1.887925,0.424831,0.793491,10
WallaceRW2,0.456748,1.887925,0.424831,0.793491,10
WhittakerSW1,0.445158,3.828053,0.842909,0.587408,3
WhittakerSW2,0.445158,3.828053,0.842909,0.587408,9
WhittakerSW3,0.207396,2.803763,0.122855,0.419093,10
WhittakerSW4,0.308211,1.944697,0.484537,0.742631,9
WhittakerSW5,0.140603,3.919020,0.866576,0.489456,10
WhittakerSW6,0.140603,3.919020,0.866576,0.489456,10
WhittakerSW7,0.072159,3.483225,0.067436,0.262324,10
WiradinataW1,0.366941,3.620545,0.805312,0.220596,10
WiradinataW2,0.140603,3.919020,0.866576,0.489456,9
